"Open P&L","Open P&L %","Net profit: All","Net profit %: All","Net profit: Long","Net profit %: Long","Net profit: Short","Net profit %: Short","Gross profit: All","Gross profit %: All","Gross profit: Long","Gross profit %: Long","Gross profit: Short","Gross profit %: Short","Gross loss: All","Gross loss %: All","Gross loss: Long","Gross loss %: Long","Gross loss: Short","Gross loss %: Short","Commission paid: All","Commission paid: Long","Commission paid: Short","Buy & hold return","Buy & hold return %","Max equity run-up","Max equity run-up %","Max equity drawdown","Max equity drawdown %","Max contracts held: All","Max contracts held: Long","Max contracts held: Short","Total trades: All","Total trades: Long","Total trades: Short","Total open trades: All","Total open trades: Long","Total open trades: Short","Winning trades: All","Winning trades: Long","Winning trades: Short","Losing trades: All","Losing trades: Long","Losing trades: Short","Percent profitable: All","Percent profitable: Long","Percent profitable: Short","Avg P&L: All","Avg P&L %: All","Avg P&L: Long","Avg P&L %: Long","Avg P&L: Short","Avg winning trade: All","Avg winning trade %: All","Avg winning trade: Long","Avg winning trade %: Long","Avg winning trade: Short","Avg losing trade: All","Avg losing trade %: All","Avg losing trade: Long","Avg losing trade %: Long","Avg losing trade: Short","Ratio avg win / avg loss: All","Ratio avg win / avg loss: Long","Ratio avg win / avg loss: Short","Largest winning trade: All","Largest winning trade: Long","Largest winning trade: Short","Largest winning trade percent: All","Largest winning trade percent: Long","Largest winning trade percent: Short","Largest losing trade: All","Largest losing trade: Long","Largest losing trade: Short","Largest losing trade percent: All","Largest losing trade percent: Long","Largest losing trade percent: Short","Avg # bars in trades: All","Avg # bars in trades: Long","Avg # bars in trades: Short","Avg # bars in winning trades: All","Avg # bars in winning trades: Long","Avg # bars in winning trades: Short","Avg # bars in losing trades: All","Avg # bars in losing trades: Long","Avg # bars in losing trades: Short","Sharpe ratio","Sortino ratio","Profit factor: All","Profit factor: Long","Profit factor: Short","Margin calls: All","Margin calls: Long","Margin calls: Short","__交易方向","__Equal 高/低 掃描窗（根）","__改用線段顯示（預設圓點）","__固定止損 %","__1R 轉保本時，保本價偏移 %（手續費緩衝）","__啟用空單/預設 EMA 趨勢止盈（僅在達到1R後）","__固定 EMA 長度（供空單或未啟用自適應時使用）","__達到1R後的最短持有棒數（避免同根出場）","__平倉後冷卻棒數（期間不可再進場）","__啟用 RSI 動態 EMA（多單）","__Weak 動能 → 短 EMA","__Mid 動能 → 中 EMA","__Strong 動能 → 長 EMA","__RSI 週期","__RSI 中等門檻（≥此為中等）","__RSI 強勢門檻（≥此為強勢）","__啟用突破追多","__突破視窗（Donchian 高點）","__ATR 週期（突破緩衝用）","__突破緩衝 ATR 倍數","__要求收盤同時在預設 EMA 之上","__在止盈當根標註使用的 EMA","__Inputs in status line","_setTime_","_parseTime_","comment"
8580.77,3.42,150536.82,150.54,150536.82,150.54,0,0,724286.05,724.29,724286.05,724.29,0,0,573749.23,573.75,573749.23,573.75,0,0,28017.94,28017.94,0,523349.85,523.35,185911.75,65.11,78099.31,34.13,6,6,0,152,152,0,1,1,0,77,77,0,75,75,0,50.66,50.66,"∅",990.37,0.79,990.37,0.79,"∅",9406.31,5.55,9406.31,5.55,"∅",7649.99,4.1,7649.99,4.1,"∅",1.23,1.23,"∅",52097.78,52097.78,"∅",30.78,30.78,"∅",11162.71,11162.71,"∅",4.1,4.1,"∅",119,119,0,152,152,0,86,86,0,0.309,0.621,1.262,1.262,"∅",0,0,0,"Long only",60,0,4,0.8,true,200,0,0,true,55,144,233,10,30,50,true,30,14,0.8,true,true,true,0.2,1.2,"Default parameters."
10363.11,3.42,202577.26,202.58,202577.26,202.58,0,0,962238.22,962.24,962238.22,962.24,0,0,759660.96,759.66,759660.96,759.66,0,0,35432.63,35432.63,0,523349.8,523.35,259049.85,72.16,96215.82,31.31,6,6,0,143,143,0,1,1,0,70,70,0,73,73,0,48.95,48.95,"∅",1416.62,1.03,1416.62,1.03,"∅",13746.26,6.38,13746.26,6.38,"∅",10406.31,4.1,10406.31,4.1,"∅",1.321,1.321,"∅",99460.6,99460.6,"∅",40.7,40.7,"∅",14107.55,14107.55,"∅",4.1,4.1,"∅",131,131,0,176,176,0,88,88,0,0.342,0.71,1.267,1.267,"∅",0,0,0,"Long only",60,0,4,0.8,true,200,0,0,true,55,144,233,19,35,65,true,30,14,0.8,true,true,true,0.2,1.2,"All parameters are changed randomly"
3276.45,1.79,83449.94,83.45,83449.94,83.45,0,0,670629.07,670.63,670629.07,670.63,0,0,587179.14,587.18,587179.14,587.18,0,0,28221.51,28221.51,0,523409.26,523.41,147358.83,59.58,102501.33,43.03,6,6,0,170,170,0,1,1,0,85,85,0,85,85,0,50,50,"∅",490.88,0.52,490.88,0.52,"∅",7889.75,5.13,7889.75,5.13,"∅",6907.99,4.1,6907.99,4.1,"∅",1.142,1.142,"∅",46072.65,46072.65,"∅",30.17,30.17,"∅",9755.98,9755.98,"∅",4.1,4.1,"∅",103,103,0,122,122,0,85,85,0,0.217,0.409,1.142,1.142,"∅",0,0,0,"Long only",60,0,4,0.8,true,200,0,0,true,55,144,233,5,45,49,true,30,14,0.8,true,true,true,0.2,1.6,"All parameters are changed randomly"
10362.03,3.44,201297.37,201.3,201297.37,201.3,0,0,941904.27,941.9,941904.27,941.9,0,0,740606.9,740.61,740606.9,740.61,0,0,34555.66,34555.66,0,523435.34,523.44,248533.07,71.32,97161.62,31.74,6,6,0,141,141,0,1,1,0,69,69,0,72,72,0,48.94,48.94,"∅",1427.64,1.03,1427.64,1.03,"∅",13650.79,6.39,13650.79,6.39,"∅",10286.21,4.1,10286.21,4.1,"∅",1.327,1.327,"∅",91359.88,91359.88,"∅",37.69,37.69,"∅",13694.3,13694.3,"∅",4.1,4.1,"∅",133,133,0,179,179,0,88,88,0,0.339,0.728,1.272,1.272,"∅",0,0,0,"Long only",60,0,4,0.8,true,200,0,0,true,55,144,233,7,15,73,true,30,14,0.8,true,true,true,0.2,1.1,"All parameters are changed randomly"
9987.61,3.44,190409.62,190.41,190409.62,190.41,0,0,902912.85,902.91,902912.85,902.91,0,0,712503.23,712.5,712503.23,712.5,0,0,33791.92,33791.92,0,523435.34,523.44,247691.13,71.25,94385.43,31.74,6,6,0,142,142,0,1,1,0,71,71,0,71,71,0,50,50,"∅",1340.91,0.98,1340.91,0.98,"∅",12717.08,6.06,12717.08,6.06,"∅",10035.26,4.1,10035.26,4.1,"∅",1.267,1.267,"∅",91139.21,91139.21,"∅",37.69,37.69,"∅",13661.22,13661.22,"∅",4.1,4.1,"∅",133,133,0,177,177,0,89,89,0,0.323,0.688,1.267,1.267,"∅",0,0,0,"Long only",60,0,4,0.8,true,200,0,0,true,55,144,233,17,20,81,true,30,14,0.8,true,true,true,0.2,1.2,"All parameters are changed randomly"
3491.67,1.79,95035.17,95.04,95035.17,95.04,0,0,713630.88,713.63,713630.88,713.63,0,0,618595.7,618.6,618595.7,618.6,0,0,29467.96,29467.96,0,523435.34,523.44,150561.76,60.1,93721.52,38.84,6,6,0,169,169,0,1,1,0,84,84,0,85,85,0,49.7,49.7,"∅",562.34,0.56,562.34,0.56,"∅",8495.61,5.27,8495.61,5.27,"∅",7277.6,4.1,7277.6,4.1,"∅",1.167,1.167,"∅",50101.41,50101.41,"∅",30.17,30.17,"∅",9882.32,9882.32,"∅",4.1,4.1,"∅",104,104,0,123,123,0,85,85,0,0.234,0.45,1.154,1.154,"∅",0,0,0,"Long only",60,0,4,0.8,true,200,0,0,true,55,144,233,9,50,49,true,30,14,0.8,true,true,true,0.2,1.3,"All parameters are changed randomly"
3173,1.79,77235.93,77.24,77235.93,77.24,0,0,639262.5,639.26,639262.5,639.26,0,0,562026.57,562.03,562026.57,562.03,0,0,27518,27518,0,523435.29,523.44,127552.09,56.07,83701.27,38.36,6,6,0,171,171,0,1,1,0,87,87,0,84,84,0,50.88,50.88,"∅",451.67,0.48,451.67,0.48,"∅",7347.84,4.9,7347.84,4.9,"∅",6690.79,4.1,6690.79,4.1,"∅",1.098,1.098,"∅",46367.96,46367.96,"∅",30.17,30.17,"∅",8936.23,8936.23,"∅",4.1,4.1,"∅",102,102,0,120,120,0,85,85,0,0.208,0.39,1.137,1.137,"∅",0,0,0,"Long only",60,0,4,0.8,true,200,0,0,true,55,144,233,19,60,97,true,30,14,0.8,true,true,true,0.2,1.3,"All parameters are changed randomly"
3103.84,1.79,73371.95,73.37,73371.95,73.37,0,0,652546.59,652.55,652546.59,652.55,0,0,579174.63,579.17,579174.63,579.17,0,0,26985.76,26985.76,0,523435.34,523.44,135987.39,57.64,89094.17,39.57,6,6,0,165,165,0,1,1,0,80,80,0,85,85,0,48.48,48.48,"∅",444.68,0.51,444.68,0.51,"∅",8156.83,5.4,8156.83,5.4,"∅",6813.82,4.1,6813.82,4.1,"∅",1.197,1.197,"∅",47284.61,47284.61,"∅",29.03,29.03,"∅",9221.29,9221.29,"∅",4.1,4.1,"∅",107,107,0,132,132,0,84,84,0,0.196,0.35,1.127,1.127,"∅",0,0,0,"Long only",60,0,4,0.8,true,200,0,0,true,55,144,233,13,40,81,true,30,14,0.8,true,true,true,0.2,1.2,"All parameters are changed randomly"
3284.58,1.79,83468.91,83.47,83468.91,83.47,0,0,670182.24,670.18,670182.24,670.18,0,0,586713.32,586.71,586713.32,586.71,0,0,28198.65,28198.65,0,523435.29,523.44,147032.86,59.53,102366.24,43.03,6,6,0,170,170,0,1,1,0,85,85,0,85,85,0,50,50,"∅",490.99,0.52,490.99,0.52,"∅",7884.5,5.13,7884.5,5.13,"∅",6902.51,4.1,6902.51,4.1,"∅",1.142,1.142,"∅",46012.02,46012.02,"∅",30.17,30.17,"∅",9743.12,9743.12,"∅",4.1,4.1,"∅",104,104,0,122,122,0,85,85,0,0.217,0.409,1.142,1.142,"∅",0,0,0,"Long only",60,0,4,0.8,true,200,0,0,true,55,144,233,5,45,57,true,30,14,0.8,true,true,true,0.2,1.2,"All parameters are changed randomly"
11661.88,3.44,239092.2,239.09,239092.2,239.09,0,0,966047.92,966.05,966047.92,966.05,0,0,726955.72,726.96,726955.72,726.96,0,0,34876.09,34876.09,0,523435.34,523.44,286503.95,74.14,96603.38,31.74,6,6,0,140,140,0,1,1,0,70,70,0,70,70,0,50,50,"∅",1707.8,1.12,1707.8,1.12,"∅",13800.68,6.35,13800.68,6.35,"∅",10385.08,4.1,10385.08,4.1,"∅",1.329,1.329,"∅",90852.42,90852.42,"∅",37.69,37.69,"∅",15108.29,15108.29,"∅",4.1,4.1,"∅",133,133,0,177,177,0,89,89,0,0.364,0.8,1.329,1.329,"∅",0,0,0,"Long only",60,0,4,0.8,true,200,0,0,true,55,144,233,20,20,49,true,30,14,0.8,true,true,true,0.2,1.2,"All parameters are changed randomly"
12118.53,3.44,252371.77,252.37,252371.77,252.37,0,0,930729.45,930.73,930729.45,930.73,0,0,678357.68,678.36,678357.68,678.36,0,0,33196.66,33196.66,0,523435.29,523.44,301638.33,75.11,72676.33,28.93,6,6,0,146,146,0,1,1,0,74,74,0,72,72,0,50.68,50.68,"∅",1728.57,1.11,1728.57,1.11,"∅",12577.42,6.17,12577.42,6.17,"∅",9421.63,4.1,9421.63,4.1,"∅",1.335,1.335,"∅",92311.16,92311.16,"∅",42.17,42.17,"∅",15699.98,15699.98,"∅",4.1,4.1,"∅",126,126,0,160,160,0,90,90,0,0.408,0.873,1.372,1.372,"∅",0,0,0,"Long only",60,0,4,0.8,true,200,0,0,true,55,144,233,9,45,25,true,30,14,0.8,true,true,true,0.2,1.3,"All parameters are changed randomly"
