"Open P&L","Open P&L %","Net profit: All","Net profit %: All","Net profit: Long","Net profit %: Long","Net profit: Short","Net profit %: Short","Gross profit: All","Gross profit %: All","Gross profit: Long","Gross profit %: Long","Gross profit: Short","Gross profit %: Short","Gross loss: All","Gross loss %: All","Gross loss: Long","Gross loss %: Long","Gross loss: Short","Gross loss %: Short","Commission paid: All","Commission paid: Long","Commission paid: Short","Buy & hold return","Buy & hold return %","Max equity run-up","Max equity run-up %","Max equity drawdown","Max equity drawdown %","Max contracts held: All","Max contracts held: Long","Max contracts held: Short","Total trades: All","Total trades: Long","Total trades: Short","Total open trades: All","Total open trades: Long","Total open trades: Short","Winning trades: All","Winning trades: Long","Winning trades: Short","Losing trades: All","Losing trades: Long","Losing trades: Short","Percent profitable: All","Percent profitable: Long","Percent profitable: Short","Avg P&L: All","Avg P&L %: All","Avg P&L: Long","Avg P&L %: Long","Avg P&L: Short","Avg winning trade: All","Avg winning trade %: All","Avg winning trade: Long","Avg winning trade %: Long","Avg winning trade: Short","Avg losing trade: All","Avg losing trade %: All","Avg losing trade: Long","Avg losing trade %: Long","Avg losing trade: Short","Ratio avg win / avg loss: All","Ratio avg win / avg loss: Long","Ratio avg win / avg loss: Short","Largest winning trade: All","Largest winning trade: Long","Largest winning trade: Short","Largest winning trade percent: All","Largest winning trade percent: Long","Largest winning trade percent: Short","Largest losing trade: All","Largest losing trade: Long","Largest losing trade: Short","Largest losing trade percent: All","Largest losing trade percent: Long","Largest losing trade percent: Short","Avg # bars in trades: All","Avg # bars in trades: Long","Avg # bars in trades: Short","Avg # bars in winning trades: All","Avg # bars in winning trades: Long","Avg # bars in winning trades: Short","Avg # bars in losing trades: All","Avg # bars in losing trades: Long","Avg # bars in losing trades: Short","Sharpe ratio","Sortino ratio","Profit factor: All","Profit factor: Long","Profit factor: Short","Margin calls: All","Margin calls: Long","Margin calls: Short","__Equal High/Low scan window (bars)","__Show as line segments (default: dots)","__⚠ (Deprecated) Fixed Stop-Loss % (unused in HYBRID)","__ATR length (for SL / 1R)","__ATR × m for ATR-SL","__Structure margin: k × ATR beyond ref","__Breakeven offset % when 1R reached (fee buffer)","__Fixed EMA length","__Min bars to hold after 1R (avoid same-bar exit)","__Cooldown bars after exit (no re-entry during period)","__Enable RSI-adapted EMA (longs)","__Weak momentum → short EMA","__Mid momentum → mid EMA","__Strong momentum → long EMA","__RSI length","__RSI mid threshold (≥ is mid)","__RSI strong threshold (≥ is strong)","__Enable breakout long","__Breakout window (Donchian high)","__ATR length (breakout buffer)","__Breakout buffer ATR multiple","__Require close above default EMA","__Enable Breakout score filter (allow A/B only)","__Volume MA length","__Volume threshold: current > MA ×","__Body/ATR threshold (≥ scores +1)","__Close above threshold (in ATR)","__Upper wick/ATR penalty threshold (> scores −1)","__Min headroom to last swing high (ATR ×)","__Headroom penalty weight (if too close)","__EMA slope / ATR min (ε) for bonus","__Slope bonus weight (if slope ≥ ε)","__Pivot length for last swing high","__Grade A min (≥)","__Grade B min (≥)","__Hide signals while in position (plotshape)","__Suppress alerts while in position (alert)","__Label EMA used at TP bar","__Entry-bar label: grade + breakdown","__Show BE armed icon (diamond)","__Show BE price label","__Show BE horizontal line (extendable)","__BE line extend bars to right","__Trend: EMA length (trend/anti-trend + slope)","__Bonus after reclaim: break above last confirmed structure high (BOS)","__ATR length (normalize momentum/room)","__Reclaim bar body ≥ ATR × threshold → +1","__Location quality: reference EMA length","__Headroom: if distance to last swing high < ATR × threshold → −1","__Multi-sweep count lookback","__Multi-sweep bonus threshold","__Inputs in status line","_setTime_","_parseTime_","comment"
0,0,4393079.38,439307.94,4393079.38,439307.94,-2e-8,0,5458382.37,545838.24,5458382.37,545838.24,0,0,1065302.99,106530.3,1065302.99,106530.3,2e-8,0,109932.54,109932.54,2e-8,3411.57,341.16,6218116.36,99.98,376101.54,50.57,2862,2862,0,66,66,0,0,0,0,38,38,0,28,28,0,57.58,57.58,"∅",66561.81,6.5,66561.81,6.5,"∅",143641.64,14.01,143641.64,14.01,"∅",38046.54,3.69,38046.54,3.69,"∅",3.775,3.775,"∅",1695584.01,1695584.01,"∅",75.78,75.78,"∅",308071.78,308071.78,"∅",7.2,7.2,"∅",53,53,0,85,85,0,10,10,0,0.464,2.989,5.124,5.124,0,5,5,0,24,0,4,28,1.8,0.125,0.125,134,2,1,true,35,75,302,15,15,36,true,21,26,0.8,true,true,10,1.4,0.8,0.3,0.7,0.75,2,0.015,1,5,1,1,true,0,true,true,true,true,true,200,80,true,6,1.6,190,1,20,1,true,0.3,3.1,"Default parameters."
0,0,4393079.38,439307.94,4393079.38,439307.94,-2e-8,0,5458382.37,545838.24,5458382.37,545838.24,0,0,1065302.99,106530.3,1065302.99,106530.3,2e-8,0,109932.54,109932.54,2e-8,3410.78,341.08,6218116.36,99.98,376101.54,50.57,2862,2862,0,66,66,0,0,0,0,38,38,0,28,28,0,57.58,57.58,"∅",66561.81,6.5,66561.81,6.5,"∅",143641.64,14.01,143641.64,14.01,"∅",38046.54,3.69,38046.54,3.69,"∅",3.775,3.775,"∅",1695584.01,1695584.01,"∅",75.78,75.78,"∅",308071.78,308071.78,"∅",7.2,7.2,"∅",53,53,0,85,85,0,10,10,0,0.464,2.989,5.124,5.124,0,5,5,0,24,0,4,28,1.8,0.125,0.125,134,2,1,true,35,75,302,15,21,36,true,21,26,0.8,true,true,10,1.4,0.8,0.3,0.7,0.75,2,0.015,1,5,1,1,true,0,true,true,true,true,true,200,80,true,6,1.6,190,1,20,1,true,0.2,1.7,"Changed ""RSI mid threshold (≥ is mid)"": 15 => 21."
0,0,3332574.46,333257.45,3332574.46,333257.45,4e-8,0,4146232.57,414623.26,4146232.57,414623.26,0,0,813658.11,81365.81,813658.11,81365.81,-4e-8,0,83756.21,83756.21,-4e-8,3410.8,341.08,4717141.64,99.98,285329.97,50.27,2171,2171,0,66,66,0,0,0,0,38,38,0,28,28,0,57.58,57.58,"∅",50493.55,6.11,50493.55,6.11,"∅",109111.38,13.35,109111.38,13.35,"∅",29059.22,3.7,29059.22,3.7,"∅",3.755,3.755,"∅",1286357.16,1286357.16,"∅",59.09,59.09,"∅",233719.09,233719.09,"∅",7.2,7.2,"∅",54,54,0,85,85,0,11,11,0,0.479,2.808,5.096,5.096,0,5,5,0,24,0,4,28,1.8,0.125,0.125,134,2,1,true,35,75,331,15,15,36,true,21,26,0.8,true,true,10,1.4,0.8,0.3,0.7,0.75,2,0.015,1,5,1,1,true,0,true,true,true,true,true,200,80,true,6,1.6,190,1,20,1,true,0.2,2,"Changed ""Strong momentum → long EMA"": 302 => 331."
1137353.51,40.78,2788189.88,278818.99,2788189.88,278818.99,0,0,3596403.63,359640.36,3596403.63,359640.36,0,0,808213.74,80821.37,808213.74,80821.37,0,0,60643.1,60643.1,0,3411.6,341.16,5265864.32,99.98,318883.03,36.63,2189,2189,0,51,51,0,1,1,0,30,30,0,21,21,0,58.82,58.82,"∅",54670.39,8.02,54670.39,8.02,"∅",119880.12,16.26,119880.12,16.26,"∅",38486.37,3.75,38486.37,3.75,"∅",3.115,3.115,"∅",1225010.49,1225010.49,"∅",60.94,60.94,"∅",261011.89,261011.89,"∅",7.2,7.2,"∅",77,77,0,123,123,0,12,12,0,0.477,3.464,4.45,4.45,"∅",3,3,0,24,0,4,28,1.8,0.125,0.125,134,2,1,true,35,75,302,23,15,36,true,21,26,0.8,true,true,10,1.4,0.8,0.3,0.7,0.75,2,0.015,1,5,1,1,true,0,true,true,true,true,true,200,80,true,6,1.6,190,1,20,1,true,0.3,1.8,"Changed ""RSI length"": 15 => 23."
0,0,1300655.54,130065.55,1300655.54,130065.55,0,0,1596929.77,159692.98,1596929.77,159692.98,0,0,296274.24,29627.42,296274.24,29627.42,0,0,32088.89,32088.89,0,3411.58,341.16,1718362.7,99.94,102081.15,53.85,848,848,0,76,76,0,0,0,0,45,45,0,31,31,0,59.21,59.21,"∅",17113.89,4.33,17113.89,4.33,"∅",35487.33,9.82,35487.33,9.82,"∅",9557.23,3.63,9557.23,3.63,"∅",3.713,3.713,"∅",478491.69,478491.69,"∅",59.09,59.09,"∅",83632.17,83632.17,"∅",7.2,7.2,"∅",40,40,0,59,59,0,12,12,0,0.452,2.355,5.39,5.39,"∅",5,5,0,24,0,4,28,1.8,0.125,0.125,134,2,1,true,35,75,302,15,15,53,true,21,26,0.8,true,true,10,1.4,0.8,0.3,0.7,0.75,2,0.015,1,5,1,1,true,0,true,true,true,true,true,200,80,true,6,1.6,190,1,20,1,true,0.2,1.6,"Changed ""RSI strong threshold (≥ is strong)"": 36 => 53."
0,0,4393079.38,439307.94,4393079.38,439307.94,-2e-8,0,5458382.37,545838.24,5458382.37,545838.24,0,0,1065302.99,106530.3,1065302.99,106530.3,2e-8,0,109932.54,109932.54,2e-8,3411.57,341.16,6218116.36,99.98,376101.54,50.57,2862,2862,0,66,66,0,0,0,0,38,38,0,28,28,0,57.58,57.58,"∅",66561.81,6.5,66561.81,6.5,"∅",143641.64,14.01,143641.64,14.01,"∅",38046.54,3.69,38046.54,3.69,"∅",3.775,3.775,"∅",1695584.01,1695584.01,"∅",75.78,75.78,"∅",308071.78,308071.78,"∅",7.2,7.2,"∅",53,53,0,85,85,0,10,10,0,0.464,2.989,5.124,5.124,0,5,5,0,24,0,4,28,1.8,0.125,0.125,134,2,1,true,35,75,302,15,15,36,true,21,26,0.8,true,true,10,1.4,1.4,0.3,0.7,0.75,2,0.015,1,5,1,1,true,0,true,true,true,true,true,200,80,true,6,1.6,190,1,20,1,true,0.2,1.7,"Changed ""Body/ATR threshold (≥ scores +1)"": 0.8 => 1.4."
0,0,3458963.42,345896.34,3458963.42,345896.34,-5e-8,0,4301937,430193.7,4301937,430193.7,0,0,842973.58,84297.36,842973.58,84297.36,5e-8,0,85133.18,85133.18,5e-8,3411.57,341.16,4896024.95,99.98,296534.95,47.33,2254,2254,0,65,65,0,0,0,0,36,36,0,29,29,0,55.38,55.38,"∅",53214.82,6.39,53214.82,6.39,"∅",119498.25,14.78,119498.25,14.78,"∅",29068.05,4.02,29068.05,4.02,"∅",4.111,4.111,"∅",1335128.03,1335128.03,"∅",75.78,75.78,"∅",242967.3,242967.3,"∅",7.2,7.2,"∅",55,55,0,89,89,0,13,13,0,0.454,2.866,5.103,5.103,0,6,6,0,24,0,4,28,1.9,0.125,0.125,134,2,1,true,35,75,302,15,15,36,true,21,26,0.8,true,true,10,1.4,0.8,0.3,0.7,0.75,2,0.015,1,5,1,1,true,0,true,true,true,true,true,200,80,true,6,1.6,190,1,20,1,true,0.2,1.6,"Changed ""ATR × m for ATR-SL"": 1.8 => 1.9."
0,0,4393079.38,439307.94,4393079.38,439307.94,-2e-8,0,5458382.37,545838.24,5458382.37,545838.24,0,0,1065302.99,106530.3,1065302.99,106530.3,2e-8,0,109932.54,109932.54,2e-8,3409.83,340.98,6218116.36,99.98,376101.54,50.57,2862,2862,0,66,66,0,0,0,0,38,38,0,28,28,0,57.58,57.58,"∅",66561.81,6.5,66561.81,6.5,"∅",143641.64,14.01,143641.64,14.01,"∅",38046.54,3.69,38046.54,3.69,"∅",3.775,3.775,"∅",1695584.01,1695584.01,"∅",75.78,75.78,"∅",308071.78,308071.78,"∅",7.2,7.2,"∅",53,53,0,85,85,0,10,10,0,0.464,2.989,5.124,5.124,0,5,5,0,24,0,4,28,1.8,0.125,0.125,134,2,1,true,35,75,302,15,15,36,true,21,26,0.8,true,true,10,1.4,0.8,0.3,0.7,0.75,2,0.015,1,6,1,1,true,0,true,true,true,true,true,200,80,true,6,1.6,190,1,20,1,true,0.3,1.7,"Changed ""Pivot length for last swing high"": 5 => 6."
0,0,4393079.38,439307.94,4393079.38,439307.94,-2e-8,0,5458382.37,545838.24,5458382.37,545838.24,0,0,1065302.99,106530.3,1065302.99,106530.3,2e-8,0,109932.54,109932.54,2e-8,3409.83,340.98,6218116.36,99.98,376101.54,50.57,2862,2862,0,66,66,0,0,0,0,38,38,0,28,28,0,57.58,57.58,"∅",66561.81,6.5,66561.81,6.5,"∅",143641.64,14.01,143641.64,14.01,"∅",38046.54,3.69,38046.54,3.69,"∅",3.775,3.775,"∅",1695584.01,1695584.01,"∅",75.78,75.78,"∅",308071.78,308071.78,"∅",7.2,7.2,"∅",53,53,0,85,85,0,10,10,0,0.464,2.989,5.124,5.124,0,5,5,0,24,0,4,28,1.8,0.125,0.125,134,2,1,true,35,75,302,15,15,36,true,21,26,0.8,true,true,10,1.4,0.8,0.3,0.7,0.75,2,0.015,1,5,1,1,true,0,true,true,true,true,true,200,80,true,6,1.6,190,1,20,0,true,0.3,1.5,"Changed ""Multi-sweep bonus threshold"": 1 => 0."
0,0,4393079.38,439307.94,4393079.38,439307.94,-2e-8,0,5458382.37,545838.24,5458382.37,545838.24,0,0,1065302.99,106530.3,1065302.99,106530.3,2e-8,0,109932.54,109932.54,2e-8,3409.49,340.95,6218116.36,99.98,376101.54,50.57,2862,2862,0,66,66,0,0,0,0,38,38,0,28,28,0,57.58,57.58,"∅",66561.81,6.5,66561.81,6.5,"∅",143641.64,14.01,143641.64,14.01,"∅",38046.54,3.69,38046.54,3.69,"∅",3.775,3.775,"∅",1695584.01,1695584.01,"∅",75.78,75.78,"∅",308071.78,308071.78,"∅",7.2,7.2,"∅",53,53,0,85,85,0,10,10,0,0.464,2.989,5.124,5.124,0,5,5,0,24,0,4,28,1.8,0.125,0.125,134,2,1,true,35,75,302,15,15,36,true,21,26,0.8,true,true,10,1.4,0.8,0.3,0.7,0.75,2,0.015,1,4,1,1,true,0,true,true,true,true,true,200,80,true,6,1.6,190,1,20,1,true,0.2,2.1,"Changed ""Pivot length for last swing high"": 5 => 4."
