Trade #,Type,Date/Time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %,Cumulative P&L USDT,Cumulative P&L %
1,Exit long,2021-03-25 08:00,TP EMA-Mid (160),52302.2,0.111142,4997.488916,810.08,16.20,1871.24,37.42,-220.16,-4.40,810.08,16.20
1,Entry long,2021-02-26 16:00,Sweep,44964.9,0.111142,4997.488916,810.08,16.20,1871.24,37.42,-220.16,-4.40,810.08,16.20
2,Exit long,2021-04-03 08:00,Hedge (BE),58967.5,0.10038,5807.043228,106.25,1.83,230.99,3.98,-102.06,-1.76,916.33,18.33
2,Entry long,2021-03-29 20:00,Breakout,57850.6,0.10038,5807.043228,106.25,1.83,230.99,3.98,-102.06,-1.76,916.33,18.33
3,Exit long,2021-04-12 16:00,Hedge (BE),59620.8,0.104753,5913.99822,325.38,5.50,507.09,8.57,-104.88,-1.77,1241.71,24.83
3,Entry long,2021-04-08 00:00,Sweep,56456.6,0.104753,5913.99822,325.38,5.50,507.09,8.57,-104.88,-1.77,1241.71,24.83
4,Exit long,2021-04-30 12:00,TP EMA-Mid (160),53678.3,0.12713,6238.675916,578.92,9.27,930.78,14.91,-42.08,-0.67,1820.62,36.41
4,Entry long,2021-04-26 08:00,Sweep,49073.2,0.12713,6238.675916,578.92,9.27,930.78,14.91,-42.08,-0.67,1820.62,36.41
5,Exit long,2021-05-11 00:00,Hedge (BE),56466.7,0.124389,6817.164023,199.75,2.93,583,8.55,-112.12,-1.64,2020.37,40.41
5,Entry long,2021-05-05 12:00,Sweep,54805.2,0.124389,6817.164023,199.75,2.93,583,8.55,-112.12,-1.64,2020.37,40.41
6,Exit long,2021-05-17 08:00,Stop Loss (HYBRID),43981.8,0.151144,7017.117145,-376.36,-5.36,25.04,0.36,-373.04,-5.31,1644.01,32.88
6,Entry long,2021-05-17 08:00,Sweep,46426.7,0.151144,7017.117145,-376.36,-5.36,25.04,0.36,-373.04,-5.31,1644.01,32.88
7,Exit long,2021-06-03 00:00,TP EMA-Mid (160),38034.7,0.187635,6641.265771,488.49,7.35,527.16,7.93,-379.21,-5.71,2132.5,42.65
7,Entry long,2021-05-29 20:00,Sweep,35394.6,0.187635,6641.265771,488.49,7.35,527.16,7.93,-379.21,-5.71,2132.5,42.65
8,Exit long,2021-06-11 00:00,Hedge (BE),36302.1,0.216319,7130.004031,715.34,10.03,1179.09,16.53,-426.01,-5.97,2847.84,56.96
8,Entry long,2021-06-08 16:00,Sweep,32960.6,0.216319,7130.004031,715.34,10.03,1179.09,16.53,-426.01,-5.97,2847.84,56.96
9,Exit long,2021-06-17 00:00,Stop Loss (HYBRID),38393.6,0.192792,7843.97387,-449.62,-5.73,118.31,1.51,-445.92,-5.68,2398.22,47.96
9,Entry long,2021-06-15 00:00,Breakout,40686.2,0.192792,7843.97387,-449.62,-5.73,118.31,1.51,-445.92,-5.68,2398.22,47.96
10,Exit long,2021-06-21 16:00,Stop Loss (HYBRID),32103.6,0.214844,7394.500792,-504.38,-6.82,360.18,4.87,-500.93,-6.77,1893.84,37.88
10,Entry long,2021-06-21 00:00,Sweep,34418,0.214844,7394.500792,-504.38,-6.82,360.18,4.87,-500.93,-6.77,1893.84,37.88
11,Exit long,2021-07-04 12:00,Hedge (BE),34647,0.198579,6890.889879,-17.61,-0.26,373.95,5.42,-400.46,-5.81,1876.23,37.52
11,Entry long,2021-06-28 08:00,Breakout,34701,0.198579,6890.889879,-17.61,-0.26,373.95,5.42,-400.46,-5.81,1876.23,37.52
12,Exit long,2021-07-13 00:00,Hedge (BE),33343.6,0.206287,6871.997574,-0.52,-0.01,270.49,3.93,-253.52,-3.69,1875.71,37.51
12,Entry long,2021-07-08 12:00,Sweep,33312.8,0.206287,6871.997574,-0.52,-0.01,270.49,3.93,-253.52,-3.69,1875.71,37.51
13,Exit long,2021-09-08 00:00,TP EMA-Weak (21),46656.2,0.231442,6872.253594,3917.12,56.97,5371.39,78.12,-83.79,-1.22,5792.82,115.86
13,Entry long,2021-07-20 20:00,Sweep,29693.2,0.231442,6872.253594,3917.12,56.97,5371.39,78.12,-83.79,-1.22,5792.82,115.86
14,Exit long,2021-09-18 00:00,Hedge (BE),46930.8,0.242499,10784.12453,585.47,5.43,966.35,8.96,-249.1,-2.31,6378.29,127.57
